EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1618271958.279792,1845515.500,1246,2,AK,1,100,1242
1618271958.285467,1845521.000,1246,2,AK,1,100,RD
1618271960.938504,1848092.000,2165,2,AK,1,100,1242
1618271963.591540,1850663.000,2165,2,AK,1,100,RD
1618271963.598247,1850669.500,2167,2,AK,1,100,2163
1618271963.604954,1850676.000,2167,2,AK,1,100,RD
1618271966.258506,1853247.500,3084,2,AK,1,100,2163
1618271968.912058,1855819.000,3084,2,AK,1,100,RD
1618271968.918766,1855825.500,3086,2,AK,1,100,3082
1618271968.925473,1855832.000,3086,2,AK,1,100,RD
1618271971.556839,1858382.000,3992,2,AK,1,100,3082
1618271974.188205,1860932.000,3992,2,AK,1,100,RD
1618271974.209875,1860953.000,3994,2,AK,1,100,3990
1618271974.231545,1860974.000,3994,2,AK,1,100,RD
1618271976.844853,1863506.500,4894,2,AK,1,100,3990
1618271979.458161,1866039.000,4894,2,AK,1,100,RD
1618271979.463836,1866044.500,4896,2,AK,1,100,4892
1618271979.469512,1866050.000,4896,2,AK,1,100,RD
1618271982.115324,1868614.000,5815,2,AK,1,100,4892
1618271984.761137,1871178.000,5815,2,AK,1,100,RD
1618271984.773520,1871190.000,5817,2,AK,1,100,5813
1618271984.785903,1871202.000,5817,2,AK,1,100,RD
1618271987.446162,1873780.000,6735,2,AK,1,100,5813
1618271990.106422,1876358.000,6735,2,AK,1,100,RD
1618271990.112613,1876364.000,6737,2,AK,1,100,6733
1618271990.118805,1876370.000,6737,2,AK,1,100,RD
1618271992.769261,1878938.500,7658,2,AK,1,100,6733
1618271995.419717,1881507.000,7658,2,AK,1,100,RD
1618271995.425909,1881513.000,7660,2,AK,1,100,7656
1618271995.432100,1881519.000,7660,2,AK,1,100,RD
1618271998.058307,1884064.000,8561,2,AK,1,100,7656
1618272000.684513,1886609.000,8561,2,AK,1,100,RD
1618272000.690705,1886615.000,8563,2,AK,1,100,8559
1618272000.696896,1886621.000,8563,2,AK,1,100,RD
1618272003.340645,1889183.000,9481,2,AK,1,100,8559
1618272005.984394,1891745.000,9481,2,AK,1,100,RD
1618272005.990586,1891751.000,9483,2,AK,1,100,9479
1618272005.996777,1891757.000,9483,2,AK,1,100,RD
1618272008.626079,1894305.000,10385,2,AK,1,100,9479
1618272011.255381,1896853.000,10385,2,AK,1,100,RD
1618272011.261057,1896858.500,10387,2,AK,1,100,10383
1618272011.266732,1896864.000,10387,2,AK,1,100,RD
1618272013.913061,1899428.500,11305,2,AK,1,100,10383
1618272016.559390,1901993.000,11305,2,AK,1,100,RD
1618272016.598086,1902030.500,11307,2,AK,1,100,11303
1618272016.636783,1902068.000,11307,2,AK,1,100,RD
1618272019.241835,1904592.500,12208,2,AK,1,100,11303
1618272021.846888,1907117.000,12208,2,AK,1,100,RD
1618272021.852563,1907122.500,12210,2,AK,1,100,12206
1618272021.858238,1907128.000,12210,2,AK,1,100,RD
1618272024.481865,1909670.500,13111,2,AK,1,100,12206
1618272027.105492,1912213.000,13111,2,AK,1,100,RD
1618272027.111683,1912219.000,13113,2,AK,1,100,13109
1618272027.117875,1912225.000,13113,2,AK,1,100,RD
1618272029.769879,1914795.000,14032,2,AK,1,100,13109
1618272032.421883,1917365.000,14032,2,AK,1,100,RD
1618272032.428075,1917371.000,14034,2,AK,1,100,14030
1618272032.434266,1917377.000,14034,2,AK,1,100,RD
1618272035.065632,1919927.000,14937,2,AK,1,100,14030
1618272037.696998,1922477.000,14937,2,AK,1,100,RD
1618272037.709897,1922489.500,14939,2,AK,1,100,14935
1618272037.722796,1922502.000,14939,2,AK,1,100,RD
1618272040.345906,1925044.000,15841,2,AK,1,100,14935
1618272042.969017,1927586.000,15841,2,AK,1,100,RD
1618272043.003070,1927619.000,15843,2,AK,1,100,15839
1618272043.037123,1927652.000,15843,2,AK,1,100,RD
1618272045.649399,1930183.500,16745,2,AK,1,100,15839
1618272048.261675,1932715.000,16745,2,AK,1,100,RD
1618272048.267350,1932720.500,16747,2,AK,1,100,16743
1618272048.273026,1932726.000,16747,2,AK,1,100,RD
1618272050.899748,1935271.500,17649,2,AK,1,100,16743
1618272053.526471,1937817.000,17649,2,AK,1,100,RD
1618272053.533178,1937823.500,17651,2,AK,1,100,17647
1618272053.539885,1937830.000,17651,2,AK,1,100,RD
1618272056.184150,1940392.500,18569,2,AK,1,100,17647
1618272058.828415,1942955.000,18569,2,AK,1,100,RD
1618272058.835639,1942962.000,18571,2,AK,1,100,18567
1618272058.842862,1942969.000,18571,2,AK,1,100,RD
1618272061.503121,1945547.000,19491,2,AK,1,100,18567
1618272064.163381,1948125.000,19491,2,AK,1,100,RD
1618272064.169572,1948131.000,19493,2,AK,1,100,19489
1618272064.175764,1948137.000,19493,2,AK,1,100,RD
1618272066.825188,1950704.500,20411,2,AK,1,100,19489
1618272069.474612,1953272.000,20411,2,AK,1,100,RD
1618272069.481320,1953278.500,20413,2,AK,1,100,20409
1618272069.488027,1953285.000,20413,2,AK,1,100,RD
1618272072.119393,1955835.000,21314,2,AK,1,100,20409
1618272074.750759,1958385.000,21314,2,AK,1,100,RD
1618272074.770882,1958404.500,21316,2,AK,1,100,21312
1618272074.791004,1958424.000,21316,2,AK,1,100,RD
1618272077.403795,1960956.000,22219,2,AK,1,100,21312
1618272080.016587,1963488.000,22219,2,AK,1,100,RD
1618272080.022779,1963494.000,22221,2,AK,1,100,22217
1618272080.028970,1963500.000,22221,2,AK,1,100,RD
1618272082.680974,1966070.000,23139,2,AK,1,100,22217
1618272085.332978,1968640.000,23139,2,AK,1,100,RD
1618272085.338654,1968645.500,23141,2,AK,1,100,23137
1618272085.344329,1968651.000,23141,2,AK,1,100,RD
1618272087.970536,1971196.000,24042,2,AK,1,100,23137
1618272090.596742,1973741.000,24042,2,AK,1,100,RD
1618272090.606030,1973750.000,24044,2,AK,1,100,24040
1618272090.615317,1973759.000,24044,2,AK,1,100,RD
1618272093.242039,1976304.500,24947,2,AK,1,100,24040
1618272095.868762,1978850.000,24947,2,AK,1,100,RD
1618272095.875985,1978857.000,24949,2,AK,1,100,24945
1618272095.883208,1978864.000,24949,2,AK,1,100,RD
1618272098.537792,1981436.500,25868,2,AK,1,100,24945
1618272101.192376,1984009.000,25868,2,AK,1,100,RD
1618272101.212498,1984028.500,25870,2,AK,1,100,25866
1618272101.232620,1984048.000,25870,2,AK,1,100,RD
1618272103.845412,1986580.000,26772,2,AK,1,100,25866
1618272106.458204,1989112.000,26772,2,AK,1,100,RD
1618272106.464395,1989118.000,26774,2,AK,1,100,26770
