EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1618271658.852525,1555347.000,15690,1,T0,1,100,34.119
1618271658.985641,1555476.000,15709,1,T0,1,100,34.141
1618271659.117725,1555604.000,15727,1,T0,1,100,34.178
1618271659.250841,1555733.000,15746,1,T0,1,100,34.173
1618271659.382926,1555861.000,15780,1,T0,1,100,34.183
1618271659.516042,1555990.000,15798,1,T0,1,100,34.200
1618271659.651222,1556121.000,15817,1,T0,1,100,34.157
1618271659.783306,1556249.000,15852,1,T0,1,100,34.221
1618271659.917454,1556379.000,15870,1,T0,1,100,34.189
1618271660.049538,1556507.000,15889,1,T0,1,100,34.151
1618271660.183686,1556637.000,15907,1,T0,1,100,34.162
1618271660.316803,1556766.000,15941,1,T0,1,100,34.205
1618271660.449919,1556895.000,15960,1,T0,1,100,34.178
1618271660.584067,1557025.000,15978,1,T0,1,100,34.167
1618271660.717183,1557154.000,16014,1,T0,1,100,34.210
1618271660.851331,1557284.000,16032,1,T0,1,100,34.183
1618271660.982383,1557411.000,16050,1,T0,1,100,34.167
1618271661.116532,1557541.000,16069,1,T0,1,100,34.194
1618271661.249648,1557670.000,16103,1,T0,1,100,34.189
1618271661.382764,1557799.000,16121,1,T0,1,100,34.178
1618271661.515880,1557928.000,16140,1,T0,1,100,34.157
1618271661.647964,1558056.000,16158,1,T0,1,100,34.189
1618271661.782112,1558186.000,16193,1,T0,1,100,34.183
1618271661.916260,1558316.000,16217,1,T0,1,100,34.157
1618271662.049376,1558445.000,16235,1,T0,1,100,34.189
1618271662.183525,1558575.000,16269,1,T0,1,100,34.221
1618271662.317673,1558705.000,16288,1,T0,1,100,34.183
1618271662.450789,1558834.000,16306,1,T0,1,100,34.194
1618271662.583905,1558963.000,16325,1,T0,1,100,34.183
1618271662.717021,1559092.000,16360,1,T0,1,100,34.189
1618271662.849105,1559220.000,16378,1,T0,1,100,34.151
1618271662.982222,1559349.000,16397,1,T0,1,100,34.200
1618271663.115338,1559478.000,16431,1,T0,1,100,34.189
1618271663.246390,1559605.000,16449,1,T0,1,100,34.189
1618271663.380538,1559735.000,16468,1,T0,1,100,34.200
1618271663.513654,1559864.000,16486,1,T0,1,100,34.232
1618271663.646770,1559993.000,16521,1,T0,1,100,34.200
