EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1618271631.956868,1529283.000,11040,3,MX,1,100,-63
1618271631.995737,1529320.667,11058,3,MX,1,100,-62
1618271632.034606,1529358.333,11058,3,MX,1,100,-63
1618271632.073474,1529396.000,11058,3,MX,1,100,-63
1618271632.115266,1529436.500,11076,2,MX,1,100,-62
1618271632.157058,1529477.000,11076,2,MX,1,100,-63
1618271632.195927,1529514.667,11095,3,MX,1,100,-62
1618271632.234796,1529552.333,11095,3,MX,1,100,-63
1618271632.273664,1529590.000,11095,3,MX,1,100,-63
1618271632.315972,1529631.000,11112,2,MX,1,100,-62
1618271632.358281,1529672.000,11112,2,MX,1,100,-62
1618271632.397149,1529709.667,11129,3,MX,1,100,-62
1618271632.436018,1529747.333,11129,3,MX,1,100,-63
1618271632.474886,1529785.000,11129,3,MX,1,100,-63
