EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1618271623.485934,1521074.000,9576,3,PI,1,100,156547
1618271623.528242,1521115.000,9594,2,PI,1,100,156622
1618271623.570550,1521156.000,9594,2,PI,1,100,156731
1618271623.609075,1521193.333,9612,3,PI,1,100,156843
1618271623.647599,1521230.667,9612,3,PI,1,100,156969
1618271623.686124,1521268.000,9612,3,PI,1,100,156707
1618271623.727400,1521308.000,9629,2,PI,1,100,156166
1618271623.768677,1521348.000,9629,2,PI,1,100,155884
1618271623.813392,1521391.333,9648,3,PI,1,100,155838
1618271623.858109,1521434.667,9648,3,PI,1,100,155963
1618271623.902824,1521478.000,9648,3,PI,1,100,156154
1618271623.936362,1521510.500,9666,2,PI,1,100,156309
1618271623.969898,1521543.000,9666,2,PI,1,100,156321
1618271624.014271,1521586.000,9685,3,PI,1,100,156293
1618271624.058643,1521629.000,9685,3,PI,1,100,156314
1618271624.103015,1521672.000,9685,3,PI,1,100,156416
1618271624.141539,1521709.333,9702,3,PI,1,100,156534
1618271624.180064,1521746.667,9702,3,PI,1,100,156673
1618271624.218588,1521784.000,9702,3,PI,1,100,156770
1618271624.257113,1521821.333,9720,3,PI,1,100,156833
1618271624.295638,1521858.667,9720,3,PI,1,100,156892
1618271624.334162,1521896.000,9720,3,PI,1,100,156961
1618271624.375954,1521936.500,9737,2,PI,1,100,157043
1618271624.417747,1521977.000,9737,2,PI,1,100,156976
1618271624.456615,1522014.667,9756,3,PI,1,100,156503
1618271624.495484,1522052.333,9756,3,PI,1,100,156093
1618271624.534352,1522090.000,9756,3,PI,1,100,155934
1618271624.573221,1522127.667,9774,3,PI,1,100,155985
1618271624.612089,1522165.333,9774,3,PI,1,100,156152
1618271624.650958,1522203.000,9774,3,PI,1,100,156305
1618271624.692234,1522243.000,9792,2,PI,1,100,156334
1618271624.733511,1522283.000,9792,2,PI,1,100,156304
1618271624.775303,1522323.500,9814,2,PI,1,100,156288
1618271624.817095,1522364.000,9814,2,PI,1,100,156353
1618271624.855964,1522401.667,9833,3,PI,1,100,156457
1618271624.894832,1522439.333,9833,3,PI,1,100,156567
1618271624.933701,1522477.000,9833,3,PI,1,100,156681
1618271624.978073,1522520.000,9851,3,PI,1,100,156778
1618271625.022445,1522563.000,9851,3,PI,1,100,156883
1618271625.066817,1522606.000,9851,3,PI,1,100,156972
1618271625.108609,1522646.500,9870,2,PI,1,100,157045
1618271625.150402,1522687.000,9870,2,PI,1,100,157019
1618271625.189270,1522724.667,9887,3,PI,1,100,156510
1618271625.228139,1522762.333,9887,3,PI,1,100,156013
1618271625.267007,1522800.000,9887,3,PI,1,100,155795
1618271625.305532,1522837.333,9904,3,PI,1,100,155772
1618271625.344056,1522874.667,9904,3,PI,1,100,155862
1618271625.382581,1522912.000,9904,3,PI,1,100,156003
1618271625.424889,1522953.000,9922,2,PI,1,100,156056
1618271625.467197,1522994.000,9922,2,PI,1,100,156040
1618271625.505722,1523031.333,9941,3,PI,1,100,156020
1618271625.544247,1523068.667,9941,3,PI,1,100,156070
1618271625.582771,1523106.000,9941,3,PI,1,100,156154
1618271625.621296,1523143.333,9958,3,PI,1,100,156274
1618271625.659820,1523180.667,9958,3,PI,1,100,156384
1618271625.698345,1523218.000,9958,3,PI,1,100,156450
1618271625.739621,1523258.000,9977,2,PI,1,100,156505
1618271625.780898,1523298.000,9977,2,PI,1,100,156613
1618271625.819766,1523335.667,9994,3,PI,1,100,156720
1618271625.858635,1523373.333,9994,3,PI,1,100,156798
1618271625.897503,1523411.000,9994,3,PI,1,100,156509
1618271625.938780,1523451.000,10013,2,PI,1,100,156002
1618271625.980056,1523491.000,10013,2,PI,1,100,155706
1618271626.024428,1523534.000,10031,3,PI,1,100,155634
1618271626.068800,1523577.000,10031,3,PI,1,100,155716
1618271626.113172,1523620.000,10031,3,PI,1,100,155883
1618271626.146709,1523652.500,10049,2,PI,1,100,156028
1618271626.180246,1523685.000,10049,2,PI,1,100,156076
1618271626.224274,1523727.667,10065,3,PI,1,100,156048
1618271626.268302,1523770.333,10065,3,PI,1,100,156072
1618271626.312330,1523813.000,10065,3,PI,1,100,156166
1618271626.345867,1523845.500,10084,2,PI,1,100,156291
1618271626.379404,1523878.000,10084,2,PI,1,100,156422
1618271626.423776,1523921.000,10102,3,PI,1,100,156531
1618271626.468148,1523964.000,10102,3,PI,1,100,156636
1618271626.512521,1524007.000,10102,3,PI,1,100,156751
1618271626.551389,1524044.667,10121,3,PI,1,100,156836
1618271626.590258,1524082.333,10121,3,PI,1,100,156954
1618271626.629126,1524120.000,10121,3,PI,1,100,156992
1618271626.670403,1524160.000,10138,2,PI,1,100,156700
1618271626.711679,1524200.000,10138,2,PI,1,100,156142
1618271626.750547,1524237.667,10156,3,PI,1,100,155805
1618271626.789416,1524275.333,10156,3,PI,1,100,155714
1618271626.828285,1524313.000,10156,3,PI,1,100,155772
1618271626.866809,1524350.333,10174,3,PI,1,100,155920
1618271626.905334,1524387.667,10174,3,PI,1,100,156012
1618271626.943858,1524425.000,10174,3,PI,1,100,155986
1618271626.986166,1524466.000,10193,2,PI,1,100,155948
1618271627.028475,1524507.000,10193,2,PI,1,100,155986
1618271627.067343,1524544.667,10210,3,PI,1,100,156061
1618271627.106212,1524582.333,10210,3,PI,1,100,156166
1618271627.145080,1524620.000,10210,3,PI,1,100,156285
1618271627.185841,1524659.500,10227,2,PI,1,100,156379
1618271627.226601,1524699.000,10227,2,PI,1,100,156449
1618271627.265470,1524736.667,10245,3,PI,1,100,156506
1618271627.304338,1524774.333,10245,3,PI,1,100,156593
1618271627.343207,1524812.000,10245,3,PI,1,100,156680
1618271627.385515,1524853.000,10264,2,PI,1,100,156436
1618271627.427823,1524894.000,10264,2,PI,1,100,155879
1618271627.471851,1524936.667,10282,3,PI,1,100,155503
1618271627.515879,1524979.333,10282,3,PI,1,100,155379
1618271627.559907,1525022.000,10282,3,PI,1,100,155406
1618271627.598432,1525059.333,10300,3,PI,1,100,155539
1618271627.636956,1525096.667,10300,3,PI,1,100,155684
1618271627.675481,1525134.000,10300,3,PI,1,100,155695
1618271627.717273,1525174.500,10317,2,PI,1,100,155648
1618271627.759066,1525215.000,10317,2,PI,1,100,155654
1618271627.797246,1525252.000,10336,3,PI,1,100,155734
1618271627.835427,1525289.000,10336,3,PI,1,100,155836
1618271627.873607,1525326.000,10336,3,PI,1,100,155976
1618271627.913164,1525364.333,10354,3,PI,1,100,156090
1618271627.952720,1525402.667,10354,3,PI,1,100,156201
1618271627.992277,1525441.000,10354,3,PI,1,100,156279
1618271628.034069,1525481.500,10372,2,PI,1,100,156343
1618271628.075861,1525522.000,10372,2,PI,1,100,156441
1618271628.113698,1525558.667,10389,3,PI,1,100,156504
1618271628.151535,1525595.333,10389,3,PI,1,100,156171
1618271628.189371,1525632.000,10389,3,PI,1,100,155569
1618271628.231164,1525672.500,10407,2,PI,1,100,155216
1618271628.272956,1525713.000,10407,2,PI,1,100,155076
1618271628.312512,1525751.333,10425,3,PI,1,100,155070
1618271628.352069,1525789.667,10425,3,PI,1,100,155209
1618271628.391625,1525828.000,10425,3,PI,1,100,155335
1618271628.433418,1525868.500,10444,2,PI,1,100,155334
1618271628.475210,1525909.000,10444,2,PI,1,100,155309
1618271628.514422,1525947.000,10461,3,PI,1,100,155307
1618271628.553635,1525985.000,10461,3,PI,1,100,155387
1618271628.592848,1526023.000,10461,3,PI,1,100,155480
1618271628.634640,1526063.500,10478,2,PI,1,100,155591
1618271628.676432,1526104.000,10478,2,PI,1,100,155695
1618271628.717450,1526143.750,10497,4,PI,1,100,155796
1618271628.758469,1526183.500,10497,4,PI,1,100,155866
1618271628.799487,1526223.250,10497,4,PI,1,100,155943
1618271628.840505,1526263.000,10497,4,PI,1,100,156003
1618271628.882298,1526303.500,10516,2,PI,1,100,156126
1618271628.924090,1526344.000,10516,2,PI,1,100,156237
1618271628.963303,1526382.000,10534,3,PI,1,100,155971
1618271629.002515,1526420.000,10534,3,PI,1,100,155404
1618271629.041728,1526458.000,10534,3,PI,1,100,155006
1618271629.082488,1526497.500,10552,2,PI,1,100,154837
1618271629.123248,1526537.000,10552,2,PI,1,100,154838
1618271629.162117,1526574.667,10568,3,PI,1,100,154946
1618271629.200985,1526612.333,10568,3,PI,1,100,155070
1618271629.239854,1526650.000,10568,3,PI,1,100,155071
1618271629.278723,1526687.667,10587,3,PI,1,100,155069
1618271629.317591,1526725.333,10587,3,PI,1,100,155098
1618271629.356460,1526763.000,10587,3,PI,1,100,155208
1618271629.397220,1526802.500,10605,2,PI,1,100,155354
1618271629.437980,1526842.000,10605,2,PI,1,100,155476
1618271629.477193,1526880.000,10624,3,PI,1,100,155564
1618271629.516405,1526918.000,10624,3,PI,1,100,155663
1618271629.555618,1526956.000,10624,3,PI,1,100,155748
1618271629.597410,1526996.500,10641,2,PI,1,100,155805
1618271629.639202,1527037.000,10641,2,PI,1,100,155870
1618271629.683574,1527080.000,10659,3,PI,1,100,155957
1618271629.727947,1527123.000,10659,3,PI,1,100,156064
1618271629.772319,1527166.000,10659,3,PI,1,100,156192
1618271629.811187,1527203.667,10677,3,PI,1,100,156235
1618271629.850056,1527241.333,10677,3,PI,1,100,155847
1618271629.888924,1527279.000,10677,3,PI,1,100,155293
1618271629.931232,1527320.000,10696,2,PI,1,100,155033
1618271629.973541,1527361.000,10696,2,PI,1,100,154969
1618271630.012960,1527399.200,10720,5,PI,1,100,155019
1618271630.052378,1527437.400,10720,5,PI,1,100,155172
1618271630.091797,1527475.600,10720,5,PI,1,100,155271
1618271630.131216,1527513.800,10720,5,PI,1,100,155270
1618271630.170635,1527552.000,10720,5,PI,1,100,155270
1618271630.213459,1527593.500,10738,2,PI,1,100,155302
1618271630.256284,1527635.000,10738,2,PI,1,100,155382
1618271630.294808,1527672.333,10757,3,PI,1,100,155502
1618271630.333333,1527709.667,10757,3,PI,1,100,155615
1618271630.371857,1527747.000,10757,3,PI,1,100,155750
1618271630.411070,1527785.000,10774,3,PI,1,100,155837
1618271630.450282,1527823.000,10774,3,PI,1,100,155929
1618271630.489495,1527861.000,10774,3,PI,1,100,156005
1618271630.530771,1527901.000,10792,2,PI,1,100,156081
1618271630.572047,1527941.000,10792,2,PI,1,100,156157
1618271630.610572,1527978.333,10809,3,PI,1,100,156268
1618271630.649097,1528015.667,10809,3,PI,1,100,156394
1618271630.687621,1528053.000,10809,3,PI,1,100,156306
1618271630.729414,1528093.500,10829,2,PI,1,100,155801
1618271630.771206,1528134.000,10829,2,PI,1,100,155416
1618271630.810762,1528172.333,10847,3,PI,1,100,155264
1618271630.850319,1528210.667,10847,3,PI,1,100,155266
1618271630.889875,1528249.000,10847,3,PI,1,100,155404
1618271630.928056,1528286.000,10865,3,PI,1,100,155543
1618271630.966236,1528323.000,10865,3,PI,1,100,155594
1618271631.004417,1528360.000,10865,3,PI,1,100,155576
1618271631.046209,1528400.500,10881,2,PI,1,100,155612
1618271631.088002,1528441.000,10881,2,PI,1,100,155678
1618271631.132030,1528483.667,10900,3,PI,1,100,155781
1618271631.176058,1528526.333,10900,3,PI,1,100,155897
1618271631.220086,1528569.000,10900,3,PI,1,100,156028
1618271631.253107,1528601.000,10918,2,PI,1,100,156141
1618271631.286128,1528633.000,10918,2,PI,1,100,156234
1618271631.330500,1528676.000,10936,3,PI,1,100,156314
1618271631.374872,1528719.000,10936,3,PI,1,100,156396
1618271631.419244,1528762.000,10936,3,PI,1,100,156479
1618271631.452781,1528794.500,10954,2,PI,1,100,156600
1618271631.486318,1528827.000,10954,2,PI,1,100,156735
1618271631.530690,1528870.000,10971,3,PI,1,100,156703
1618271631.575062,1528913.000,10971,3,PI,1,100,156305
1618271631.619434,1528956.000,10971,3,PI,1,100,155959
1618271631.657959,1528993.333,10989,3,PI,1,100,155829
1618271631.696484,1529030.667,10989,3,PI,1,100,155868
1618271631.735008,1529068.000,10989,3,PI,1,100,156008
1618271631.777316,1529109.000,11009,2,PI,1,100,156174
1618271631.819625,1529150.000,11009,2,PI,1,100,156251
1618271631.858493,1529187.667,11026,3,PI,1,100,156233
1618271631.897362,1529225.333,11026,3,PI,1,100,156263
1618271631.936230,1529263.000,11026,3,PI,1,100,156300
1618271631.975099,1529300.667,11044,3,PI,1,100,156361
1618271632.013967,1529338.333,11044,3,PI,1,100,156474
1618271632.052836,1529376.000,11044,3,PI,1,100,156566
1618271632.094628,1529416.500,11061,2,PI,1,100,156665
1618271632.136420,1529457.000,11061,2,PI,1,100,156746
1618271632.175633,1529495.000,11080,3,PI,1,100,156785
1618271632.214845,1529533.000,11080,3,PI,1,100,156840
1618271632.254058,1529571.000,11080,3,PI,1,100,156884
1618271632.295850,1529611.500,11098,2,PI,1,100,156957
1618271632.337642,1529652.000,11098,2,PI,1,100,156989
1618271632.382359,1529695.333,11116,3,PI,1,100,156738
1618271632.427074,1529738.667,11116,3,PI,1,100,156345
1618271632.471791,1529782.000,11116,3,PI,1,100,156137
1618271632.504296,1529813.500,11132,2,PI,1,100,156114
1618271632.536801,1529845.000,11132,2,PI,1,100,156212
1618271632.580829,1529887.667,11151,3,PI,1,100,156370
1618271632.624857,1529930.333,11151,3,PI,1,100,156455
1618271632.668885,1529973.000,11151,3,PI,1,100,156458
1618271632.702938,1530006.000,11170,2,PI,1,100,156424
1618271632.736991,1530039.000,11170,2,PI,1,100,156439
1618271632.781363,1530082.000,11188,3,PI,1,100,156494
1618271632.825735,1530125.000,11188,3,PI,1,100,156590
